AcX = 2016 | AcY = 6644 | AcZ = 2112 | Tmp = 27.31 | GyX = 3466 | GyY = 13245 | GyZ = 1418
AcX = 27152 | AcY = 5928 | AcZ = -1836 | Tmp = 27.35 | GyX = -9373 | GyY = -2050 | GyZ = 32767
AcX = 16796 | AcY = 8252 | AcZ = 6668 | Tmp = 27.26 | GyX = -3284 | GyY = -9493 | GyZ = 9725
AcX = 15316 | AcY = 1300 | AcZ = 2788 | Tmp = 27.35 | GyX = 1692 | GyY = 1836 | GyZ = 3556
AcX = 19416 | AcY = -4728 | AcZ = 6708 | Tmp = 27.31 | GyX = 1548 | GyY = 877 | GyZ = 20
AcX = 23508 | AcY = -2728 | AcZ = 2876 | Tmp = 27.31 | GyX = -31931 | GyY = -5143 | GyZ = -18139
AcX = 16024 | AcY = 7368 | AcZ = 6916 | Tmp = 27.26 | GyX = 944 | GyY = 12727 | GyZ = -5939
AcX = 8380 | AcY = 808 | AcZ = 4260 | Tmp = 27.31 | GyX = -589 | GyY = -13263 | GyZ = -4493
AcX = 12112 | AcY = 14536 | AcZ = 6412 | Tmp = 27.31 | GyX = 7657 | GyY = -5333 | GyZ = -1803
AcX = 11108 | AcY = 14076 | AcZ = 2696 | Tmp = 27.26 | GyX = -7798 | GyY = -10669 | GyZ = -6266
AcX = 12712 | AcY = 9800 | AcZ = 416 | Tmp = 27.35 | GyX = 588 | GyY = -10423 | GyZ = -6400
AcX = 7744 | AcY = 15576 | AcZ = -1164 | Tmp = 27.35 | GyX = 1539 | GyY = -6179 | GyZ = -3053
AcX = 7100 | AcY = 14272 | AcZ = -2616 | Tmp = 27.35 | GyX = 3770 | GyY = -13054 | GyZ = 2699
AcX = 5044 | AcY = 14248 | AcZ = -8060 | Tmp = 27.31 | GyX = 7968 | GyY = -16326 | GyZ = 7255
AcX = -788 | AcY = 11876 | AcZ = -2880 | Tmp = 27.26 | GyX = 2240 | GyY = -15484 | GyZ = 14543
AcX = 220 | AcY = 8404 | AcZ = -10780 | Tmp = 27.31 | GyX = 2325 | GyY = -6498 | GyZ = 8063
AcX = -408 | AcY = 3504 | AcZ = -11756 | Tmp = 27.35 | GyX = 3746 | GyY = 6584 | GyZ = 9218
AcX = 6644 | AcY = 4432 | AcZ = -12064 | Tmp = 27.35 | GyX = 1946 | GyY = 3001 | GyZ = 3034
AcX = 12284 | AcY = 3696 | AcZ = -8908 | Tmp = 27.40 | GyX = 6619 | GyY = 6619 | GyZ = 5554
AcX = 2156 | AcY = -420 | AcZ = -8660 | Tmp = 27.40 | GyX = 9306 | GyY = 9786 | GyZ = 928
AcX = 17348 | AcY = 3004 | AcZ = -9292 | Tmp = 27.21 | GyX = -3761 | GyY = 1926 | GyZ = -3810
AcX = 18812 | AcY = -13800 | AcZ = -8280 | Tmp = 27.31 | GyX = 7934 | GyY = -3549 | GyZ = 860
AcX = 16308 | AcY = -2484 | AcZ = -9600 | Tmp = 27.35 | GyX = 4186 | GyY = 1050 | GyZ = 6142
AcX = 15652 | AcY = -856 | AcZ = -7004 | Tmp = 27.35 | GyX = -1833 | GyY = 625 | GyZ = -1690
AcX = 15932 | AcY = -3632 | AcZ = -8028 | Tmp = 27.35 | GyX = 610 | GyY = 1471 | GyZ = 2731
AcX = 9360 | AcY = 1104 | AcZ = -3776 | Tmp = 27.31 | GyX = -148 | GyY = -1470 | GyZ = 3657
AcX = 18680 | AcY = 4920 | AcZ = -4872 | Tmp = 27.21 | GyX = -2553 | GyY = -3537 | GyZ = 8887
AcX = 8800 | AcY = -17020 | AcZ = -3232 | Tmp = 27.31 | GyX = -16830 | GyY = 5588 | GyZ = -11631
AcX = 14480 | AcY = -4672 | AcZ = -8108 | Tmp = 27.26 | GyX = 6847 | GyY = -1428 | GyZ = 2501
AcX = 12380 | AcY = -4860 | AcZ = -6476 | Tmp = 27.35 | GyX = -409 | GyY = 408 | GyZ = -636
AcX = 15284 | AcY = -11184 | AcZ = -9036 | Tmp = 27.26 | GyX = -2643 | GyY = -261 | GyZ = -1968
AcX = 16164 | AcY = -3276 | AcZ = -10344 | Tmp = 27.35 | GyX = -994 | GyY = -9102 | GyZ = 6872
AcX = 8136 | AcY = -3012 | AcZ = -11124 | Tmp = 27.21 | GyX = 9047 | GyY = -10990 | GyZ = 2261
AcX = 2936 | AcY = -3844 | AcZ = -1940 | Tmp = 27.26 | GyX = 12547 | GyY = -25 | GyZ = -5393
AcX = 14676 | AcY = -8804 | AcZ = 856 | Tmp = 27.35 | GyX = 8983 | GyY = 6211 | GyZ = -14622
AcX = 13132 | AcY = -5040 | AcZ = 6320 | Tmp = 27.35 | GyX = 9315 | GyY = 6292 | GyZ = -8678
AcX = 17936 | AcY = -5340 | AcZ = 9192 | Tmp = 27.35 | GyX = 2933 | GyY = 1237 | GyZ = -6011
AcX = 23028 | AcY = -2352 | AcZ = 6928 | Tmp = 27.26 | GyX = 2243 | GyY = 1280 | GyZ = -8585
AcX = 13712 | AcY = -11384 | AcZ = 12000 | Tmp = 27.31 | GyX = 18429 | GyY = 6908 | GyZ = 6341
AcX = 21004 | AcY = -18156 | AcZ = 10484 | Tmp = 27.26 | GyX = -7938 | GyY = 9 | GyZ = 23403
AcX = 11948 | AcY = -17892 | AcZ = 17472 | Tmp = 27.35 | GyX = 32767 | GyY = -32768 | GyZ = -2671
